Date,Company,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GL Balance,IHUB Balance
2023-11-04 00:00:00,Sigma Group,1036,190.06,CAD,2013,3017,725440.36,732069.94
2023-05-23 00:00:00,Alpha Corp,1019,336.62,CNY,2016,3000,80218.81,79986.61
2023-12-31 00:00:00,Epsilon Tech,1000,162.96,EUR,2011,3007,646060.21,649485.71
2023-12-15 00:00:00,Kappa Ventures,1031,129.07,SEK,2009,3004,5774456.38,5804735.92
2023-08-31 00:00:00,Omega Services,1008,62.61,AUD,2005,3004,785130.33,785422.4299999999
2023-10-08 00:00:00,Lambda Systems,1013,92.33,SEK,2008,3000,744046.06,743475.4400000001
2023-05-25 00:00:00,Kappa Ventures,1000,765.91,JPY,2005,3014,174848.81,174178.23
2023-05-28 00:00:00,Lambda Systems,1012,261.31,GBP,2001,3006,1785585.1,1774408.4000000001
2023-08-29 00:00:00,Alpha Corp,1021,97.75,CNY,2010,3007,250107.14,250681.64
2023-07-16 00:00:00,Epsilon Tech,1047,186.52,CHF,2017,3012,3049478.84,3063612.48
2023-07-09 00:00:00,Kappa Ventures,1018,87.65,EUR,2004,3007,107980.12,107297.62
2023-09-13 00:00:00,Theta Holdings,1049,756.69,JPY,2013,3018,44065.83,44182.83
2023-07-25 00:00:00,Gamma Inc,1049,53.71,JPY,2012,3002,785373.87,784576.21
2023-08-27 00:00:00,Theta Holdings,1006,169.58,AUD,2012,3011,208097.25,207756.4
2023-11-28 00:00:00,Delta Solutions,1026,134.52,NZD,2000,3006,9583650.87,9521085.29
2023-06-27 00:00:00,Sigma Group,1009,27.38,USD,2004,3011,398883.72,398412.57999999996
2023-10-25 00:00:00,Sigma Group,1016,204.78,EUR,2012,3009,160341.34,160705.85
2023-12-12 00:00:00,Beta Ltd,1015,251.51,CNY,2016,3011,40468.57,40814.02
2023-07-22 00:00:00,Beta Ltd,1021,229.44,USD,2019,3006,13347.22,13404.929999999998
2023-02-18 00:00:00,Alpha Corp,1030,72.5,USD,2014,3012,369494.06,366448.59
2023-01-19 00:00:00,Kappa Ventures,1036,798.09,GBP,2019,3019,108462.44,109431.18000000001
2023-04-28 00:00:00,Delta Solutions,1031,267.8,EUR,2000,3015,5285713.56,5256648.399999999
2023-06-15 00:00:00,Delta Solutions,1047,767.99,CNY,2008,3006,2565.78,2585.76
2023-05-13 00:00:00,Omega Services,1038,88.32,JPY,2016,3001,1418960.61,1418089.74
2023-03-09 00:00:00,Beta Ltd,1010,140.71,SEK,2005,3002,206714.04,205940.71000000002
2023-01-17 00:00:00,Gamma Inc,1046,59.19,SEK,2009,3006,12828.32,12764.77
2023-09-12 00:00:00,Theta Holdings,1017,493.37,SEK,2015,3004,246179.69,247395.73
2023-02-21 00:00:00,Beta Ltd,1026,80.84,NZD,2001,3009,184685.53,185225.34
2023-12-22 00:00:00,Omega Services,1035,163.36,CAD,2004,3009,581349.75,580282.35
2023-06-08 00:00:00,Omega Services,1040,231.79,JPY,2019,3001,140703.92,140850.67
2023-06-02 00:00:00,Kappa Ventures,1024,116.12,USD,2005,3008,7236942.43,7268154.05
2023-11-17 00:00:00,Kappa Ventures,1038,368.47,CNY,2012,3001,118984.7,118043.15
2023-01-23 00:00:00,Beta Ltd,1009,112.53,CNY,2015,3003,1194412.1,1187654.87
2023-07-07 00:00:00,Lambda Systems,1030,232.46,EUR,2014,3008,451316.14,449890.99
2023-06-26 00:00:00,Sigma Group,1035,61.96,CNY,2012,3005,2650159.55,2647181.0799999996
2023-08-01 00:00:00,Alpha Corp,1018,19.31,GBP,2002,3001,283309.56,283350.33
2023-01-14 00:00:00,Delta Solutions,1024,140.09,CNY,2007,3004,6320.77,6314.13
2023-04-21 00:00:00,Alpha Corp,1019,91.76,NZD,2004,3008,58136.95,58128.59
2023-12-14 00:00:00,Beta Ltd,1032,61.01,EUR,2000,3017,40211.77,40427.77
2023-03-20 00:00:00,Omega Services,1009,1847.96,SEK,2017,3000,2226739.25,2213279.96
2023-12-31 00:00:00,Kappa Ventures,1020,69.78,CNY,2009,3001,9363.49,9271.18
2023-06-01 00:00:00,Lambda Systems,1029,281.87,CHF,2014,3003,27450.52,27389.27
2023-01-31 00:00:00,Alpha Corp,1010,74.3,USD,2008,3005,3728.37,3716.62
2023-01-10 00:00:00,Sigma Group,1010,175.06,CAD,2010,3011,232243.21,230145.12
2023-06-16 00:00:00,Omega Services,1037,318.82,CHF,2007,3022,323971.52,323328.71
2023-05-04 00:00:00,Beta Ltd,1044,23472.25,CAD,2003,3005,79144.0,79386.55
2023-06-22 00:00:00,Kappa Ventures,1014,74.32,AUD,2007,3011,50530.03,50571.47
2023-05-16 00:00:00,Epsilon Tech,1021,91.09,EUR,2005,3003,16695.37,16648.02
2023-05-16 00:00:00,Theta Holdings,1001,53.56,USD,2017,3009,56959.07,56592.68
2023-01-21 00:00:00,Gamma Inc,1043,701.21,GBP,2019,3016,45805.52,45531.60999999999
2023-11-06 00:00:00,Alpha Corp,1010,250.38,CNY,2015,3018,79059.14,78739.28
2023-04-04 00:00:00,Sigma Group,1024,152.77,JPY,2011,3018,950850.91,951888.6900000001
2023-01-01 00:00:00,Omega Services,1028,422.76,CHF,2015,3018,131874.13,131166.45
2023-04-20 00:00:00,Epsilon Tech,1018,36.43,CHF,2003,3011,50377.76,50743.560000000005
2023-09-03 00:00:00,Omega Services,1046,84.71,CNY,2015,3016,273158.32,272058.72000000003
2023-04-14 00:00:00,Sigma Group,1008,158.8,NZD,2013,3012,3576742.16,3585710.3200000003
2023-02-08 00:00:00,Sigma Group,1032,33.51,CAD,2006,3004,4514084.0,4546051.56
2023-07-23 00:00:00,Beta Ltd,1033,192.35,JPY,2014,3008,866912.05,864884.89
2023-06-28 00:00:00,Sigma Group,1005,108.28,AUD,2015,3003,215980.87,215813.13
2023-01-28 00:00:00,Lambda Systems,1013,221.99,EUR,2009,3018,372494.22,369845.44999999995
2023-12-07 00:00:00,Delta Solutions,1004,350.96,CNY,2011,3019,768862.08,768264.4299999999
2023-11-10 00:00:00,Delta Solutions,1010,77.3,CAD,2000,3000,161147.07,161569.5
2023-09-12 00:00:00,Omega Services,1026,74.84,SEK,2002,3007,13248.86,13290.69
2023-05-14 00:00:00,Sigma Group,1007,46.28,AUD,2017,3005,132447.47,132512.14
2023-08-04 00:00:00,Delta Solutions,1011,309.57,JPY,2014,3005,20786.19,20919.25
2023-01-12 00:00:00,Alpha Corp,1012,171.51,EUR,2008,3003,12925.19,14757.300000000001
2023-05-18 00:00:00,Theta Holdings,1037,33.17,CAD,2005,3017,1476.98,1472.96
2023-05-30 00:00:00,Theta Holdings,1040,403.22,GBP,2012,3001,29707.76,29529.84
2023-04-11 00:00:00,Gamma Inc,1040,63.77,JPY,2008,3001,384.6,388.26000000000005
2023-04-14 00:00:00,Delta Solutions,1031,145.39,CAD,2009,3017,75935.33,75738.2
2023-01-08 00:00:00,Kappa Ventures,1035,116.37,SEK,2016,3008,987542.97,993636.99
2023-04-10 00:00:00,Gamma Inc,1009,113.97,SEK,2007,3000,22110.44,22149.25
2023-09-05 00:00:00,Beta Ltd,1046,534.05,USD,2019,3011,328232.12,325715.99
2023-10-22 00:00:00,Omega Services,1029,230.87,NZD,2015,3001,7502882.64,7486908.56
2023-07-25 00:00:00,Omega Services,1020,198.84,CNY,2012,3017,12650.96,12597.029999999999
2023-05-11 00:00:00,Alpha Corp,1002,138.4,EUR,2018,3001,278987.37,276469.21
2023-01-23 00:00:00,Theta Holdings,1042,108.76,JPY,2013,3018,2258179.7,2258439.9200000004
2023-12-03 00:00:00,Theta Holdings,1009,35.25,CNY,2009,3010,7899862.1,7922023.6899999995
2023-08-23 00:00:00,Alpha Corp,1021,216.05,CNY,2011,3018,152327.77,153631.77
2023-08-02 00:00:00,Epsilon Tech,1044,56.2,EUR,2007,3001,102499.0,101600.34
2023-07-31 00:00:00,Omega Services,1044,436.45,CHF,2017,3000,36857.36,37122.9
2023-07-03 00:00:00,Epsilon Tech,1044,75.81,AUD,2017,3008,38684.53,38878.06
2023-09-08 00:00:00,Delta Solutions,1012,151.36,JPY,2009,3000,757379.54,763115.61
2023-05-27 00:00:00,Omega Services,1045,120.13,EUR,2018,3012,121939.05,120914.57
2023-10-19 00:00:00,Lambda Systems,1003,115.04,CNY,2013,3009,7155.06,7223.52
2023-11-21 00:00:00,Beta Ltd,1032,174.03,NZD,2005,3007,12152.76,12081.44
2023-08-10 00:00:00,Sigma Group,1016,106.36,CAD,2007,3002,758873.91,751478.79
2023-04-13 00:00:00,Omega Services,1032,215.37,EUR,2012,3007,363336.09,360220.96
2023-02-23 00:00:00,Kappa Ventures,1007,42.98,JPY,2006,3002,109446.84,110177.29
2023-01-03 00:00:00,Lambda Systems,1044,40.95,NZD,2011,3016,1141211.0,1143691.44
2023-06-05 00:00:00,Lambda Systems,1019,110.85,USD,2012,3011,1010746.1,1008324.5
2023-11-10 00:00:00,Omega Services,1034,45.76,AUD,2015,3007,95540.22,95695.92
2023-01-26 00:00:00,Lambda Systems,1048,218.01,EUR,2014,3012,1009547.84,1013310.2899999999
2023-02-14 00:00:00,Lambda Systems,1027,45.97,USD,2005,3007,309294.8,306373.87
2023-09-28 00:00:00,Theta Holdings,1034,55.66,USD,2016,3017,94626.64,94973.56999999999
2023-05-09 00:00:00,Theta Holdings,1043,170.71,CNY,2012,3015,2713278.3,2733830.8899999997
2023-03-08 00:00:00,Kappa Ventures,1041,104.8,JPY,2005,3004,110666.68,110127.57999999999
2023-12-02 00:00:00,Theta Holdings,1032,117.4,CNY,2005,3017,22140710.05,22278362.19
2023-02-22 00:00:00,Sigma Group,1041,166.15,CAD,2016,3016,92954.27,93465.52
2023-07-31 00:00:00,Lambda Systems,1046,29.46,EUR,2009,3015,262297.39,264088.45
2023-01-12 00:00:00,Delta Solutions,1049,518.99,GBP,2006,3006,793562.04,793316.04
2023-09-21 00:00:00,Gamma Inc,1047,30.99,AUD,2005,3009,10081.0,10078.81
2023-02-20 00:00:00,Beta Ltd,1019,119.08,GBP,2006,3010,694024.03,690359.7000000001
2023-08-16 00:00:00,Alpha Corp,1008,131.26,USD,2003,3018,7212.28,7184.98
2023-10-03 00:00:00,Sigma Group,1023,46.01,NZD,2002,3006,1878409.39,1890457.89
2023-09-27 00:00:00,Gamma Inc,1020,1028.63,CAD,2006,3011,856936.15,855426.0800000001
2023-02-09 00:00:00,Alpha Corp,1038,63.46,AUD,2006,3012,30894.88,31180.190000000002
2023-03-18 00:00:00,Alpha Corp,1044,22.53,CAD,2007,3016,10831599.59,10929655.5
2023-07-08 00:00:00,Omega Services,1008,24.1,JPY,2004,3017,134736.94,134103.59
2023-06-12 00:00:00,Gamma Inc,1031,51.25,GBP,2017,3005,1928369.97,1935809.39
2023-02-23 00:00:00,Delta Solutions,1041,35.52,AUD,2011,3019,1886814.92,1879626.22
2023-07-17 00:00:00,Theta Holdings,1022,233.87,CHF,2012,3003,2826344.94,2826537.8
2023-12-22 00:00:00,Epsilon Tech,1002,51.4,CNY,2017,3010,254888.47,253015.5
2023-04-17 00:00:00,Epsilon Tech,1013,102.54,JPY,2015,3019,54838.71,54721.34
2023-06-12 00:00:00,Omega Services,1044,296.5,EUR,2006,3014,5735.52,5747.3
2023-07-10 00:00:00,Delta Solutions,1049,231.38,NZD,2010,3013,14490378.15,14551665.23
2023-05-29 00:00:00,Theta Holdings,1042,250.1,CHF,2025,3012,383979.19,380381.86
2023-10-25 00:00:00,Sigma Group,1030,67.62,CNY,2015,3012,1345150.03,1357641.17
2023-12-09 00:00:00,Alpha Corp,1017,163.85,JPY,2019,3002,81957.25,81574.5
2023-12-30 00:00:00,Theta Holdings,1006,204.04,CNY,2013,3011,97142.32,96710.8
2023-03-17 00:00:00,Gamma Inc,1001,35.78,JPY,2017,3008,10923.48,11017.91
2023-03-25 00:00:00,Alpha Corp,1030,16022.97,JPY,2011,3012,1167320.53,1156440.1400000001
2023-04-04 00:00:00,Omega Services,1009,136.46,CAD,2016,3015,18535.38,18571.32
2023-06-24 00:00:00,Delta Solutions,1029,286.66,AUD,2019,3017,75731.31,76006.45
2023-09-07 00:00:00,Theta Holdings,1003,100.53,USD,2004,3000,14852.95,14881.070000000002
2023-11-21 00:00:00,Epsilon Tech,1030,40.65,CNY,2001,3016,959308.45,956012.7699999999
2023-07-23 00:00:00,Omega Services,1019,199.46,CNY,2011,3010,701015.95,707578.71
2023-11-01 00:00:00,Beta Ltd,1036,26.61,AUD,2003,3015,912085.6,909709.35
2023-04-13 00:00:00,Epsilon Tech,1019,17.31,EUR,2007,3001,51801.08,51488.6
2023-04-25 00:00:00,Delta Solutions,1038,56.59,NZD,2016,3004,1521594.55,1532429.4200000002
2023-03-26 00:00:00,Omega Services,1015,17.95,NZD,2008,3009,11617.06,11622.609999999999
2023-12-12 00:00:00,Gamma Inc,1025,108.22,GBP,2009,3005,25828.01,25575.079999999998
2023-07-21 00:00:00,Sigma Group,1015,702.63,GBP,2001,3008,572259.57,567514.2699999999
2023-08-06 00:00:00,Kappa Ventures,1003,64.42,EUR,2018,3008,197712.53,198539.23
2023-10-10 00:00:00,Gamma Inc,1025,136.45,JPY,2016,3006,894598.39,901252.67
2023-12-25 00:00:00,Beta Ltd,1047,96.23,AUD,2011,3003,96833.94,96119.31
2023-01-14 00:00:00,Sigma Group,1018,188.07,JPY,2015,3013,10981.97,10979.949999999999
2023-01-19 00:00:00,Theta Holdings,1005,118.97,USD,2002,3008,75800.6,75481.28
