Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHUB Balance
2025-12-03,Beta Ltd,ACC001,AU01,INR,PA005,SA002,10755.17,9371.98
2025-01-24,Beta Ltd,ACC004,AU01,INR,PA001,SA002,12948.75,6972.06
2025-04-14,Beta Ltd,ACC002,AU01,USD,PA003,SA003,10635.18,13965.22
2025-01-01,Delta Inc,ACC003,AU05,GBP,PA005,SA004,9883.42,8896.57
2025-02-23,Delta Inc,ACC002,AU02,EUR,PA002,SA001,13949.82,12464.6
2025-07-12,Gamma LLC,ACC002,AU05,GBP,PA003,SA005,9743.66,12641.4
2025-02-05,Epsilon,ACC005,AU03,EUR,PA003,SA001,9679.41,7161.06
2025-06-04,Gamma LLC,ACC005,AU02,GBP,PA005,SA003,13587.2,
2025-04-12,Alpha Inc,ACC001,AU05,JPY,PA003,SA001,14728.37,14291.06
2025-08-04,Gamma LLC,ACC001,AU04,GBP,PA004,SA003,9134.22,6384.62
2025-11-01,Alpha Inc,ACC004,AU05,INR,PA005,SA003,8290.14,10611.86
2025-06-03,Alpha Inc,ACC005,AU03,JPY,PA004,SA002,6040.62,8639.99
2025-05-10,Delta Inc,ACC001,AU01,JPY,PA002,SA003,9405.2,
2025-01-04,Epsilon,ACC003,AU04,GBP,PA005,SA003,13712.95,5927.06
2025-08-27,Alpha Inc,ACC001,AU05,USD,PA005,SA004,8907.12,8517.62
2025-04-29,Gamma LLC,ACC005,AU03,INR,PA002,SA002,12341.74,
2025-11-16,Epsilon,ACC004,AU05,JPY,PA005,SA001,12088.64,8762.04
2025-10-08,Alpha Inc,ACC003,AU05,GBP,PA001,SA005,6106.42,12134.32
2025-12-25,Gamma LLC,ACC004,AU04,JPY,PA003,SA002,8488.45,11684.18
2025-04-18,Beta Ltd,ACC002,AU05,GBP,PA004,SA003,14615.63,7660.73
2025-11-16,Gamma LLC,ACC005,AU02,EUR,PA005,SA002,10703.94,9295.74
2025-11-01,Beta Ltd,ACC004,AU05,EUR,PA002,SA001,14475.85,7306.73
2025-01-21,Epsilon,ACC004,AU01,JPY,PA003,SA004,10375.06,
2025-05-12,Beta Ltd,ACC005,AU04,,PA001,SA002,14904.28,6870.13
,Gamma LLC,ACC003,AU05,EUR,PA005,SA004,6424.06,6708.63
2025-02-01,Delta Inc,ACC001,AU04,INR,PA001,SA002,6309.24,8366.64
2025-03-05,Delta Inc,ACC002,AU03,GBP,PA004,SA003,12248.81,8083.03
2025-10-15,Delta Inc,ACC001,AU02,USD,PA005,SA003,8815.44,8815.97
2025-01-16,Gamma LLC,ACC001,AU04,EUR,PA003,SA005,5966.58,12362.98
2025-07-27,Delta Inc,ACC005,AU03,INR,PA004,SA004,9820.83,13649.97
,Beta Ltd,ACC003,AU01,EUR,PA003,SA002,9159.02,8562.63
2025-07-30,Beta Ltd,ACC001,AU05,JPY,PA005,SA003,13505.44,6040.8
2025-10-07,Epsilon,ACC001,AU03,JPY,PA002,SA004,10602.21,12776.65
2025-12-13,Alpha Inc,ACC002,AU01,INR,PA001,SA003,13946.7,5624.6
2025-05-07,Beta Ltd,ACC002,AU01,USD,PA001,SA001,10293.85,9576.71
2025-06-04,Delta Inc,ACC001,AU05,JPY,PA003,SA003,12255.44,9488.91
2025-09-11,Alpha Inc,ACC005,AU04,USD,PA002,SA005,5823.11,11885.96
2025-04-01,Beta Ltd,ACC005,AU04,GBP,PA003,SA004,11550.55,
2025-05-23,Beta Ltd,ACC002,AU05,GBP,PA001,SA003,9140.49,11100.96
2025-12-22,Beta Ltd,ACC001,AU01,GBP,PA002,SA001,12066.32,5292.54
2025-08-12,Alpha Inc,ACC005,AU01,INR,PA002,SA003,8519.44,8666.49
2025-01-21,Alpha Inc,ACC002,AU02,USD,PA002,SA003,7895.29,5675.62
2025-06-26,Gamma LLC,ACC005,AU04,,PA001,SA005,13578.01,11056.35
,Delta Inc,ACC004,AU04,INR,PA005,SA002,5764.7,10632.34
2025-10-30,Gamma LLC,ACC005,AU05,GBP,PA001,SA005,12646.2,8034.11
2025-07-27,Alpha Inc,ACC002,AU01,USD,PA001,SA002,7276.19,9135.62
2025-09-05,Epsilon,ACC002,AU01,GBP,PA002,SA005,10728.46,14571.14
2025-06-28,Gamma LLC,ACC002,AU02,JPY,PA005,SA002,9049.82,
2025-12-20,Epsilon,ACC002,AU03,GBP,PA005,SA001,7079.21,6957.02
2025-08-29,Epsilon,ACC005,AU05,EUR,PA004,SA004,10520.2,14401.49
2025-07-05,Epsilon,ACC002,AU01,USD,PA001,SA003,8171.02,7446.66
,Epsilon,ACC003,AU03,JPY,PA004,SA002,12476.64,14750.0
2025-06-17,Beta Ltd,ACC001,AU01,USD,PA003,SA003,7902.59,14690.58
2025-02-11,Delta Inc,ACC005,AU01,,PA001,SA004,8841.7,10055.21
2025-02-26,Gamma LLC,ACC001,AU03,USD,PA004,SA004,12440.87,11013.73
2025-10-07,Epsilon,ACC005,AU04,JPY,PA004,SA003,12664.35,14591.39
,Gamma LLC,ACC001,AU01,EUR,PA003,SA002,10054.94,13610.99
2025-01-02,Epsilon,ACC005,AU01,EUR,PA003,SA002,11479.84,7027.3
2025-05-21,Alpha Inc,ACC003,AU04,,PA002,SA004,6557.71,
2025-05-08,Epsilon,ACC002,AU03,EUR,PA002,SA001,12511.45,5328.45
2025-12-19,Delta Inc,ACC005,AU04,GBP,PA001,SA002,9791.9,13606.85
2025-09-13,Alpha Inc,ACC003,AU02,USD,PA005,SA004,7324.3,9428.7
2025-12-18,Beta Ltd,ACC001,AU05,EUR,PA003,SA002,7748.42,5390.99
2025-07-21,Gamma LLC,ACC004,AU02,GBP,PA004,SA002,14847.22,11788.1
2025-12-24,Alpha Inc,ACC005,AU03,GBP,PA003,SA001,13547.47,7644.38
2025-03-07,Epsilon,ACC003,AU02,,PA001,SA005,9123.49,6006.64
2025-05-26,Beta Ltd,ACC005,AU01,JPY,PA003,SA001,12126.83,11371.71
2025-04-16,Alpha Inc,ACC002,AU01,EUR,PA003,SA004,9021.57,9427.54
2025-06-12,Alpha Inc,ACC002,AU04,GBP,PA004,SA001,6526.92,13750.38
2025-11-27,Gamma LLC,ACC004,AU03,JPY,PA004,SA004,5807.46,7614.16
2025-01-27,Gamma LLC,ACC001,AU05,EUR,PA005,SA005,5378.81,14820.11
2025-05-25,Epsilon,ACC001,AU03,USD,PA005,SA001,9344.27,13099.86
,Delta Inc,ACC002,AU04,EUR,PA005,SA004,13974.89,11517.28
2025-07-31,Epsilon,ACC004,AU05,INR,PA003,SA002,10006.71,14495.82
,Gamma LLC,ACC004,AU01,USD,PA001,SA003,10300.33,7101.04
2025-11-01,Beta Ltd,ACC004,AU04,EUR,PA005,SA002,12439.27,14457.3
2025-04-01,Gamma LLC,ACC001,AU03,GBP,PA001,SA002,14229.09,
2025-04-23,Alpha Inc,ACC004,AU04,GBP,PA002,SA005,11276.92,14150.55
2025-01-19,Delta Inc,ACC002,AU01,JPY,PA004,SA003,7174.78,8725.83
2025-05-23,Epsilon,ACC004,AU02,GBP,PA003,SA004,13201.98,14828.49
2025-02-18,Alpha Inc,ACC005,AU03,,PA004,SA003,8971.62,10640.02
2025-07-02,Epsilon,ACC002,AU03,,PA002,SA005,10632.47,9805.64
2025-01-28,Beta Ltd,ACC003,AU03,INR,PA004,SA001,12177.46,6501.77
2025-03-25,Epsilon,ACC004,AU03,USD,PA002,SA003,9230.54,10242.01
2025-03-08,Beta Ltd,ACC002,AU02,JPY,PA005,SA004,10301.87,6365.72
2025-10-13,Delta Inc,ACC002,AU04,INR,PA001,SA003,10552.1,10477.82
,Epsilon,ACC002,AU04,GBP,PA004,SA005,10145.29,8699.34
2025-09-14,Beta Ltd,ACC002,AU02,GBP,PA003,SA002,12435.22,5389.29
2025-08-05,Alpha Inc,ACC002,AU03,INR,PA004,SA002,10035.58,8455.94
2025-02-13,Alpha Inc,ACC005,AU01,USD,PA001,SA004,10277.67,9705.17
2025-03-06,Gamma LLC,ACC002,AU01,GBP,PA003,SA004,8740.38,6624.11
2025-02-11,Beta Ltd,ACC004,AU01,EUR,PA005,SA003,12817.55,14204.81
2025-09-07,Alpha Inc,ACC005,AU02,INR,PA004,SA005,9328.18,12421.72
2025-01-02,Alpha Inc,ACC004,AU05,EUR,PA003,SA002,9143.65,
2025-04-14,Beta Ltd,ACC004,AU04,JPY,PA003,SA004,5409.14,14617.13
2025-09-19,Epsilon,ACC003,AU01,INR,PA004,SA001,7076.75,7301.81
2025-07-22,Delta Inc,ACC005,AU04,GBP,PA004,SA004,11843.38,13691.17
2025-04-09,Epsilon,ACC004,AU03,EUR,PA005,SA005,5562.47,7087.81
2025-05-25,Gamma LLC,ACC004,AU02,GBP,PA004,SA003,10502.84,5541.57
2025-07-06,Alpha Inc,ACC004,AU02,INR,PA002,SA004,11334.08,9731.14
2025-10-02,Gamma LLC,ACC001,AU01,,PA004,SA003,6397.32,8707.25
2025-03-27,Epsilon,ACC001,AU04,JPY,PA003,SA001,12818.11,13572.32
2025-03-22,Epsilon,ACC002,AU02,JPY,PA002,SA005,7498.59,9778.16
2025-07-12,Alpha Inc,ACC003,AU05,JPY,PA001,SA005,7968.3,12265.66
2025-09-10,Delta Inc,ACC003,AU02,INR,PA002,SA005,6585.96,10082.52
2025-08-29,Beta Ltd,ACC002,AU04,JPY,PA002,SA004,5414.85,8259.93
2025-06-02,Alpha Inc,ACC004,AU01,EUR,PA001,SA004,14114.6,9945.19
2025-04-25,Alpha Inc,ACC003,AU05,GBP,PA005,SA005,10349.46,8754.61
2025-10-20,Gamma LLC,ACC004,AU02,INR,PA004,SA005,9103.36,12788.27
2025-05-26,Delta Inc,ACC001,AU05,GBP,PA001,SA003,9876.58,14888.46
2025-08-03,Epsilon,ACC001,AU04,USD,PA005,SA002,7564.82,8538.54
2025-09-04,Epsilon,ACC002,AU02,EUR,PA002,SA004,9385.13,9920.9
,Alpha Inc,ACC005,AU04,JPY,PA005,SA005,14973.57,9992.5
2025-08-13,Alpha Inc,ACC003,AU04,EUR,PA003,SA002,8193.4,8204.64
,Gamma LLC,ACC005,AU02,GBP,PA004,SA004,11373.22,9185.4
2025-02-22,Gamma LLC,ACC003,AU01,INR,PA003,SA004,13923.74,9107.94
2025-05-02,Beta Ltd,ACC003,AU05,,PA001,SA002,11347.73,10497.42
2025-08-08,Alpha Inc,ACC001,AU05,INR,PA001,SA001,10883.63,8432.26
,Epsilon,ACC003,AU02,INR,PA005,SA003,6862.27,
2025-12-11,Alpha Inc,ACC001,AU03,,PA002,SA005,12193.41,
2025-02-09,Beta Ltd,ACC002,AU02,USD,PA005,SA005,12948.2,
2025-03-29,Alpha Inc,ACC002,AU05,JPY,PA002,SA003,8916.32,
2025-07-07,Beta Ltd,ACC002,AU05,GBP,PA002,SA003,14860.25,8904.55
2025-07-16,Alpha Inc,ACC004,AU05,JPY,PA003,SA001,11299.98,11266.38
2025-12-23,Delta Inc,ACC004,AU04,,PA001,SA005,5419.9,9359.3
2025-08-17,Delta Inc,ACC004,AU05,GBP,PA002,SA003,12014.3,13412.89
2025-06-06,Alpha Inc,ACC002,AU02,EUR,PA002,SA003,12479.23,9840.78
2025-07-18,Delta Inc,ACC003,AU04,GBP,PA001,SA004,12109.23,10684.81
2025-12-21,Epsilon,ACC001,AU03,INR,PA004,SA005,12048.04,6318.99
2025-12-07,Gamma LLC,ACC002,AU05,INR,PA003,SA003,9440.21,9192.67
2025-08-26,Epsilon,ACC003,AU05,JPY,PA001,SA001,14330.25,
2025-07-09,Delta Inc,ACC002,AU03,EUR,PA005,SA003,13943.56,12867.03
2025-11-15,Delta Inc,ACC005,AU01,JPY,PA004,SA003,11259.41,7062.26
,Gamma LLC,ACC004,AU03,USD,PA002,SA003,11424.57,13036.94
2025-12-28,Gamma LLC,ACC002,AU01,GBP,PA002,SA001,7666.44,7051.88
,Alpha Inc,ACC004,AU02,JPY,PA004,SA001,14164.03,8920.3
2025-11-07,Delta Inc,ACC001,AU04,JPY,PA002,SA001,11325.0,
2025-10-21,Epsilon,ACC001,AU02,INR,PA002,SA005,11734.47,
2025-11-16,Beta Ltd,ACC004,AU05,INR,PA002,SA002,12629.05,7213.77
2025-08-12,Alpha Inc,ACC003,AU02,EUR,PA003,SA002,14303.92,6310.29
2025-10-11,Beta Ltd,ACC003,AU05,INR,PA002,SA002,8676.23,6369.51
2025-02-06,Alpha Inc,ACC005,AU01,GBP,PA003,SA005,11691.82,11937.84
2025-07-16,Beta Ltd,ACC001,AU03,EUR,PA004,SA005,14262.43,10416.63
2025-02-17,Epsilon,ACC002,AU03,JPY,PA002,SA004,13670.97,14007.8
2025-10-27,Delta Inc,ACC004,AU03,GBP,PA002,SA005,6384.12,
2025-10-28,Alpha Inc,ACC001,AU04,JPY,PA001,SA004,9156.34,7105.53
2025-02-26,Epsilon,ACC002,AU01,GBP,PA005,SA002,13279.81,9273.78
2025-08-24,Delta Inc,ACC002,AU02,JPY,PA001,SA004,7187.38,10053.14
2025-04-30,Gamma LLC,ACC002,AU03,JPY,PA002,SA004,5434.2,11443.08
2025-10-05,Gamma LLC,ACC002,AU04,,PA003,SA001,10005.31,12981.72
2025-03-02,Alpha Inc,ACC003,AU05,EUR,PA004,SA005,5782.35,6489.08
2025-02-12,Delta Inc,ACC002,AU02,GBP,PA004,SA005,13536.27,6160.69
2025-10-12,Alpha Inc,ACC005,AU02,EUR,PA004,SA003,12096.01,5418.76
2025-10-30,Beta Ltd,ACC001,AU03,EUR,PA003,SA001,11763.36,5480.48
2025-05-13,Alpha Inc,ACC003,AU05,,PA005,SA001,6934.0,9963.29
2025-04-08,Epsilon,ACC004,AU02,INR,PA005,SA004,8244.79,8644.41
2025-10-06,Beta Ltd,ACC005,AU01,GBP,PA002,SA001,13811.07,10120.67
2025-10-20,Gamma LLC,ACC002,AU03,EUR,PA004,SA003,5745.0,13499.69
2025-07-05,Beta Ltd,ACC004,AU04,INR,PA004,SA005,6559.1,7834.79
2025-12-29,Gamma LLC,ACC001,AU02,INR,PA004,SA004,12300.82,11835.25
2025-07-21,Beta Ltd,ACC001,AU03,JPY,PA004,SA003,12544.39,6731.28
2025-08-09,Delta Inc,ACC001,AU04,USD,PA001,SA001,13109.44,11038.57
,Gamma LLC,ACC002,AU04,JPY,PA004,SA002,6351.1,5905.17
2025-09-11,Beta Ltd,ACC005,AU05,INR,PA003,SA005,10513.9,7046.18
2025-04-05,Beta Ltd,ACC004,AU03,GBP,PA005,SA004,8185.6,7870.61
2025-06-30,Alpha Inc,ACC003,AU01,GBP,PA003,SA003,14601.61,10722.66
2025-01-17,Delta Inc,ACC001,AU05,JPY,PA005,SA001,10275.25,8685.23
2025-09-05,Alpha Inc,ACC004,AU05,JPY,PA004,SA003,7459.72,9057.06
2025-10-03,Beta Ltd,ACC004,AU01,EUR,PA001,SA002,10025.21,14076.34
2025-07-08,Alpha Inc,ACC004,AU04,USD,PA001,SA005,12740.45,8183.17
2025-06-06,Beta Ltd,ACC001,AU03,USD,PA001,SA004,14394.23,9217.27
2025-08-22,Epsilon,ACC001,AU02,USD,PA003,SA002,9653.01,11840.05
2025-12-01,Delta Inc,ACC002,AU05,GBP,PA003,SA004,9350.72,8979.65
2025-08-31,Gamma LLC,ACC004,AU02,,PA002,SA005,10167.48,6096.66
2025-03-02,Epsilon,ACC002,AU01,USD,PA001,SA001,14071.0,6663.41
2025-03-15,Beta Ltd,ACC005,AU02,INR,PA001,SA005,14143.65,
2025-04-06,Gamma LLC,ACC001,AU05,EUR,PA001,SA004,8089.96,6948.96
2025-01-25,Epsilon,ACC002,AU05,EUR,PA001,SA004,12502.57,6164.9
2025-02-07,Alpha Inc,ACC004,AU01,GBP,PA002,SA002,9274.63,12099.66
2025-04-08,Epsilon,ACC003,AU02,JPY,PA002,SA002,11560.3,14120.68
2025-11-15,Alpha Inc,ACC004,AU02,USD,PA001,SA005,7565.38,9014.44
2025-07-12,Gamma LLC,ACC004,AU04,GBP,PA004,SA002,7320.83,11556.0
,Epsilon,ACC003,AU01,EUR,PA002,SA004,11911.64,13490.57
2025-04-17,Delta Inc,ACC004,AU01,EUR,PA004,SA001,14514.25,14753.21
2025-01-18,Alpha Inc,ACC002,AU03,INR,PA001,SA004,10229.01,6693.35
2025-01-18,Beta Ltd,ACC003,AU04,JPY,PA001,SA004,9384.33,14437.58
2025-02-24,Gamma LLC,ACC003,AU03,USD,PA003,SA001,12135.72,10355.61
2025-01-18,Beta Ltd,ACC002,AU01,INR,PA005,SA002,7215.45,12560.35
2025-08-19,Beta Ltd,ACC001,AU04,INR,PA004,SA004,5154.46,6676.31
2025-05-18,Delta Inc,ACC001,AU02,JPY,PA002,SA004,14861.84,5373.94
2025-11-02,Alpha Inc,ACC003,AU03,INR,PA003,SA002,9598.41,13068.47
2025-12-24,Epsilon,ACC003,AU03,GBP,PA004,SA004,6273.9,14887.69
2025-05-17,Beta Ltd,ACC004,AU03,GBP,PA004,SA001,6842.51,7021.47
2025-06-22,Epsilon,ACC004,AU01,GBP,PA002,SA001,8897.41,11681.26
,Alpha Inc,ACC004,AU01,EUR,PA005,SA002,6053.81,9661.24
2025-03-28,Gamma LLC,ACC004,AU04,EUR,PA001,SA004,14456.0,11895.59
2025-01-16,Delta Inc,ACC004,AU03,EUR,PA005,SA005,6054.91,
2025-02-09,Delta Inc,ACC002,AU02,,PA002,SA001,6127.95,6069.74
2025-06-24,Alpha Inc,ACC005,AU02,EUR,PA003,SA004,12813.02,13477.41
2025-12-19,Epsilon,ACC001,AU02,,PA002,SA005,7015.93,6865.25
2025-11-01,Delta Inc,ACC002,AU05,EUR,PA004,SA004,8934.3,11435.69
,Alpha Inc,ACC001,AU04,,PA004,SA003,11792.29,6032.6
2025-05-01,Beta Ltd,ACC005,AU03,,PA003,SA001,10418.81,11071.76
2025-11-24,Alpha Inc,ACC002,AU05,EUR,PA004,SA001,13694.45,5253.4
2025-08-07,Gamma LLC,ACC002,AU03,JPY,PA002,SA005,7581.71,
2025-06-23,Alpha Inc,ACC004,AU02,GBP,PA005,SA005,8397.42,14724.62
2025-10-19,Gamma LLC,ACC003,AU04,USD,PA003,SA003,13936.27,
2025-05-13,Gamma LLC,ACC002,AU03,INR,PA001,SA003,9776.24,12440.7
2025-12-11,Epsilon,ACC004,AU01,EUR,PA003,SA003,13604.59,13184.99
2025-11-10,Beta Ltd,ACC005,AU02,,PA001,SA005,11032.21,14745.28
2025-07-15,Delta Inc,ACC003,AU05,JPY,PA005,SA001,5912.04,
2025-04-17,Epsilon,ACC003,AU05,JPY,PA002,SA005,9625.3,13398.64
2025-04-26,Beta Ltd,ACC005,AU05,INR,PA003,SA005,11770.8,14476.4
2025-09-19,Epsilon,ACC003,AU01,INR,PA004,SA001,7076.75,7301.81
2025-09-25,Epsilon,ACC004,AU02,USD,PA003,SA002,13016.59,13631.53
2025-09-17,Alpha Inc,ACC002,AU01,,PA003,SA003,5045.82,9343.1
2025-01-08,Epsilon,ACC002,AU05,USD,PA002,SA003,5123.41,5960.38
2025-12-08,Delta Inc,ACC001,AU01,,PA004,SA003,12089.69,11632.81
2025-12-26,Delta Inc,ACC004,AU04,,PA002,SA005,9964.11,5992.34
2025-04-24,Epsilon,ACC003,AU04,GBP,PA003,SA004,5266.85,10013.28
2025-06-01,Delta Inc,ACC002,AU05,USD,PA004,SA001,11049.12,6006.05
2025-08-27,Beta Ltd,ACC004,AU01,USD,PA004,SA001,7388.04,
2025-01-24,Beta Ltd,ACC003,AU05,INR,PA001,SA002,11999.37,7248.32
2025-04-07,Alpha Inc,ACC005,AU05,EUR,PA003,SA004,11349.11,12567.44
2025-04-19,Epsilon,ACC002,AU05,INR,PA004,SA003,7752.16,9123.38
2025-09-10,Gamma LLC,ACC001,AU03,INR,PA001,SA003,7287.11,12659.7
2025-08-28,Beta Ltd,ACC001,AU04,GBP,PA005,SA004,7191.22,11379.49
2025-05-21,Beta Ltd,ACC002,AU04,GBP,PA003,SA004,7369.07,
2025-01-06,Delta Inc,ACC005,AU04,JPY,PA001,SA001,11374.25,
2025-07-04,Epsilon,ACC004,AU03,INR,PA005,SA003,8723.32,5661.87
2025-05-07,Epsilon,ACC005,AU04,GBP,PA001,SA005,6984.51,12934.89
2025-01-29,Delta Inc,ACC002,AU03,INR,PA003,SA005,11637.57,12897.14
2025-11-23,Gamma LLC,ACC003,AU02,EUR,PA004,SA004,7410.8,
,Delta Inc,ACC003,AU03,GBP,PA002,SA001,5818.12,6125.39
2025-01-03,Epsilon,ACC005,AU05,INR,PA004,SA001,12333.51,11836.88
2025-04-24,Delta Inc,ACC003,AU05,JPY,PA004,SA004,14974.49,11681.32
2025-12-14,Delta Inc,ACC002,AU05,GBP,PA002,SA005,11506.23,
2025-05-30,Delta Inc,ACC002,AU03,INR,PA001,SA004,6218.39,13251.35
2025-10-01,Delta Inc,ACC005,AU03,INR,PA001,SA003,11540.22,7081.81
2025-05-22,Beta Ltd,ACC003,AU02,JPY,PA003,SA001,8234.05,5109.39
